industry_id,primary_category,market
1,Entertainment, News 
2,Games, Games 
3,Publishing, Publishing 
4,Electronics, Electronics 
5,Tourism, Tourism 
6,Software, Software 
7,Advertising, Advertising 
8,Curated Web, Curated Web 
9,E-Commerce, E-Commerce 
10,Entertainment, Software 
11,Health and Wellness, Health and Wellness 
12,Real Estate, Real Estate 
13,Education, Education 
14,Search, Search 
15,Marketplaces, Marketplaces 
16,Local Businesses, Restaurants 
17,Media, Media 
18,Hospitality, Hospitality 
19,Health Care Information Technology, Health Care Information Technology 
20,Analytics, Analytics 
21,Fashion, Fashion 
22,Social Commerce, Mobile Commerce 
23,Mobility, Mobility 
24,Biotechnology, Biotechnology 
25,Social Travel, Social Travel 
26,Enterprise Software, Enterprise Software 
27,Personal Health, Personal Health 
28,Sports, Sports 
29,Audio, Mobile 
30,Politics, Pharmaceuticals 
31,Small and Medium Businesses, Advertising 
32,SaaS, SaaS 
33,,
34,SaaS, Software 
35,Manufacturing, Manufacturing 
36,iPad, Mobile 
37,Interest Graph, Advertising 
38,Entertainment, Entertainment 
39,Entertainment, Games 
40,Travel, Travel 
41,Designers, Designers 
42,Finance, Finance 
43,Cars, Curated Web 
44,Video Games, Software 
45,Advertising, Education 
46,Lifestyle, Lifestyle 
47,Chat, Chat 
48,Digital Media, File Sharing 
49,Tracking, Curated Web 
50,Shopping, E-Commerce 
51,Doctors, Video Chat 
52,Mobile Health, Mobile Health 
53,Mobile Security, Mobile Security 
54,Services, Health and Wellness 
55,Social Media, Social Media 
56,Monetization, Photography 
57,Fitness, Fitness 
58,Games, Sales and Marketing 
59,SaaS, Predictive Analytics 
60,Financial Services, Financial Services 
61,Mobile, Enterprise Software 
62,News, News 
63,Mobile, Mobile 
64,Publishing, Curated Web 
65,Social Commerce, Art 
66,Technology, Big Data 
67,Web Tools, Software 
68,Search, Biotechnology 
69,Blogging Platforms, Blogging Platforms 
70,Hardware + Software, Hardware + Software 
71,Non Profit, Social Fundraising 
72,Clean Technology, Clean Technology 
73,Textbooks, Software 
74,Services, Services 
75,Systems, Education 
76,DIY, Software 
77,Finance, E-Commerce 
78,Presentations, Software 
79,Cloud Computing, Software 
80,Outsourcing, Outsourcing 
81,Mobile Commerce, Software 
82,Credit Cards, Mobile 
83,Web Development, Software 
84,Finance, Software 
85,Cloud Infrastructure, Corporate IT 
86,Social + Mobile + Local, Mobile Social 
87,Media, Advertising 
88,Messaging, Curated Web 
89,Messaging, Messaging 
90,Art, Art 
91,Navigation, Navigation 
92,Task Management, Software 
93,Apps, Photography 
94,Transportation, Transportation 
95,Wine And Spirits, Wine And Spirits 
96,Video, News 
97,Social Network Media, Advertising 
98,Maps, Maps 
99,Consumer Electronics, Consumer Electronics 
100,Pharmaceuticals, Life Sciences 
101,Dental, Biotechnology 
102,Corporate Training, Corporate Training 
103,Semantic Web, Artificial Intelligence 
104,Data Centers, Services 
105,Artificial Intelligence, Fashion 
106,iPhone, Sports 
107,Enterprises, Enterprise Software 
108,Bitcoin, Bitcoin 
109,Online Travel, Online Travel 
110,Communications Hardware, Web Development 
111,Health Care, Electronic Health Records 
112,Customer Service, Customer Service 
113,3D Printing, 3D Printing 
114,Search, 3D 
115,3D, 3D Technology 
116,Drones, Drones 
117,Physicians, Physicians 
118,Automotive, Automotive 
119,Biometrics, Software 
120,Retail, Retail 
121,Video, Video 
122,3D, Mobile 
123,Visualization, Business Analytics 
124,Brand Marketing, Mobile 
125,Music, Music 
126,Semiconductors, Semiconductors 
127,SMS, Messaging 
128,Web Hosting, Web Hosting 
129,Enterprises, Android 
130,iOS, Social Media 
131,Pharmaceuticals, Biotechnology 
132,Travel, Curated Web 
133,Game, Game 
134,Payments, Developer APIs 
135,Human Resources, Human Resources 
136,Coupons, Online Shopping 
137,Security, Security 
138,Flash Storage, Flash Storage 
139,Medical, Specialty Foods 
140,Web Hosting, Networking 
141,Machine Learning, Machine Learning 
142,Venture Capital, Entrepreneur 
143,Commercial Real Estate, Commercial Real Estate 
144,Advertising, Promotional 
145,Web Design, Web Design 
146,Mobile Games, Game 
147,Automotive, Cloud Computing 
148,Mobile Advertising, Advertising 
149,Apps, Kids 
150,Computer Vision, Interface Design 
151,Pets, Pets 
152,Internet, Mobile 
153,Business Services, Business Services 
154,Mobile Devices, Consumer Electronics 
155,Fashion, Women 
156,Venture Capital, Venture Capital 
157,Loyalty Programs, E-Commerce 
158,Promotional, Photography 
159,Online Shopping, Online Shopping 
160,Carbon, Carbon 
161,Health Care, Health Care 
162,Market Research, Online Shopping 
163,Search, Career Management 
164,Photography, Photography 
165,Technology, Technology 
166,Web Development, Web Development 
167,Healthcare Services, Medical 
168,Education, Video 
169,Art, Social Media 
170,Sales and Marketing, Social Media 
171,Social Media, Distribution 
172,Online Gaming, Mobile Games 
173,Internet, Internet Marketing 
174,Social Media, Curated Web 
175,Predictive Analytics, Predictive Analytics 
176,Nanotechnology, Nanotechnology 
177,Health Services Industry, Health and Wellness 
178,Startups, Small and Medium Businesses 
179,Semantic Search, SEO 
180,Portals, Personal Finance 
181,Email, Social Media 
182,Digital Entertainment, Digital Entertainment 
183,Task Management, Task Management 
184,Virtual Worlds, Virtual Worlds 
185,E-Commerce, Big Data 
186,Fitness, Exercise 
187,Messaging, Public Relations 
188,Sports, Technology 
189,Lifestyle, Fashion 
190,Social Commerce, E-Commerce 
191,Telecommunications, Telecommunications 
192,Consulting, Consulting 
193,Sports, News 
194,Television, Television 
195,Local Businesses, Local Businesses 
196,Payments, Payments 
197,Marketplaces, Design 
198,File Sharing, Fashion 
199,Human Resources, Enterprise Software 
200,Restaurants, Restaurants 
201,SEO, SEO 
202,Business Analytics, SaaS 
203,Technology, Software 
204,Video, Photography 
205,Training, Enterprise Software 
206,Virtual Worlds, Games 
207,Email Marketing, Mobile Payments 
208,Travel & Tourism, Travel & Tourism 
209,Social Games, Social Games 
210,Creative, Creative 
211,Sensors, Software 
212,Social Commerce, Coupons 
213,Water Purification, Water Purification 
214,Twitter Applications, Twitter Applications 
215,Music, News 
216,Productivity Software, Business Productivity 
217,Communications Hardware, Communications Hardware 
218,Batteries, Batteries 
219,Mobile, Advertising 
220,Social Network Media, Music 
221,Optimization, Analytics 
222,Rapidly Expanding, 3D 
223,Software, Advertising Platforms 
224,Finance, Pharmaceuticals 
225,Women, E-Commerce 
226,Events, Events 
227,Services, Social Media 
228,Semiconductors, EDA Tools 
229,Medical, Medical 
230,Privacy, Curated Web 
231,M2M, Virtualization 
232,Cloud Infrastructure, Cloud Infrastructure 
233,Accounting, Accounting 
234,Bridging Online and Offline, Online Travel 
235,Sales and Marketing, Sales and Marketing 
236,M2M, M2M 
237,Big Data, Cloud Computing 
238,Solar, Solar 
239,Identity Management, Identity Management 
240,Events, Curated Web 
241,Visualization, Business Services 
242,Information Security, Information Security 
243,Content Discovery, Social Media Platforms 
244,B2B, Software 
245,Gamification, Apps 
246,Lead Generation, Advertising 
247,Social Media, Education 
248,Information Technology, Information Technology 
249,Entrepreneur, Entrepreneur 
250,Mining Technologies, Mining Technologies 
251,Networking, Mobile 
252,Health Care, Medical Devices 
253,Wireless, Technology 
254,Sports, Finance 
255,Education, Software 
256,Security, Enterprise Software 
257,Supply Chain Management, Transportation 
258,Networking, Cloud Management 
259,Consumer Goods, Retail 
260,Semantic Search, Curated Web 
261,Career Management, Career Management 
262,Fraud Detection, Security 
263,Networking, Services 
264,Brand Marketing, Brand Marketing 
265,Distribution, Sales and Marketing 
266,Nonprofits, Nonprofits 
267,Recruiting, Recruiting 
268,Healthcare Services, Healthcare Services 
269,Social Media, 3D 
