investor_name,investor_id
Khosla Ventures,1
Thrive Capital,2
Sequoia Capital,3
Sequoia Capital China,4
SIG Asia Investments,5
Sina Weibo,6
SoftBank Group,7
Founders Fund,8
Draper Fisher Jurvetson,9
Rothenberg Ventures,10
Google,11
LowercaseCapital,12
capitalG,13
Andreessen Horowitz,14
New Enterprise Associates,15
Battery Ventures,16
Norwest Venture Partners,17
Goldman Sachs,18
Dell Technologies Capital,19
Index Ventures,20
DST Global,21
Ribbit Capital,22
Tiger Global Management,23
Shunwei Capital Partners,24
IDG Capital,25
Venture51,26
Lightspeed Venture Partners,27
Intel Capital,28
Parkway VC,29
Amazon Industrial Innovation Fund,30
D1 Capital Partners,31
Stripe,32
Coatue Management,33
Blackbird Ventures,34
Matrix Partners,35
Temasek Holdings,36
OpenAI Startup Fund,37
Morningstar Ventures,38
Tencent Holdings,39
KKR,40
Smash Ventures,41
Forerunner Ventures,42
Crosslink Capital,43
Homebrew,44
Institutional Venture Partners,45
NVentures,46
Spark Capital,47
Y Combinator,48
Accel,49
AltaIR Capital,50
Technology Crossover Ventures,51
GGV Capital,52
ZhenFund,53
Tencent,54
Initialized Capital,55
Kleiner Perkins Caufield & Byers,56
Warbug Pincus,57
Accel Partners,58
Almaz Capital Partners,59
Altimeter Capital,60
Benchmark,61
Greylock Partners,62
Longfor Capitalm,63
Gaorong Capital,64
Founders Fund. Accel,65
Creandum,66
CRV,67
General Catalyst,68
Menlo Ventures,69
Revolution Ventures,70
Thirty Five Ventures,71
Sound Ventures,72
83North,73
Breyer Capital,74
F-Prime Capital,75
Venrock,76
JET Venture Capital,77
Sivad VC,78
Greenoaks Capital Management,79
BDT Capital Partners,80
Davidson Kempner Capital Management,81
Caffeinated Capital,82
Founder Collective,83
Wonder Ventures,84
Credo Ventures,85
LTW Capital,86
Legend Capital,87
Qualcomm Ventures,88
Lifeline Ventures,89
MSD Capital,90
Draft Ventures,91
Felicis Ventures,92
Durable Capital Partners,93
Adjacent,94
Creator Partners,95
Aviation Industry Corporation of China,96
Essence Financial,97
Jiangsu Sha Steel Group,98
Insight Partners,99
Activant Capital,100
Tribe Capital,101
General Atlantic,102
Greenoaks,103
DFJ Growth Fund,104
Addition,105
8VC,106
Notable Capital,107
Camber Creek,108
Kairos HQ,109
Fifth Wall Ventures,110
Animal Capital,111
In-Q-Tel,112
MindWorks Ventures,113
Xiang He Capital,114
Bain Capital Ventures,115
Winklevoss Capital,116
General Catalyst Partners,117
Google Ventures,118
GX Capital,119
DJF,120
Salesforce Ventures,121
Storm Ventures,122
Felicis,123
Softbank Group,124
Matrix Partners China,125
Jump Crypto,126
Craft Ventures,127
VY Capital,128
Tencent Investment,129
BA Capital,130
Redalpine Venture Partners,131
Earlybird Venture Capital,132
Valar Ventures,133
Zeev Ventures,134
1789 Capital,135
Nor-Cal Invest,136
TPG Growth,137
Nintendo,138
Pokemon Company International,139
Sequoia Capital India,140
Lightspeed India Partners,141
Target Global,142
Benhcmark,143
Anthos Capital,144
Global Founders Capital,145
Nortzone Ventures,146
Picus Capital,147
American Express Ventures,148
Bain Capital Credit,149
Didi Chuxing,150
Diamler,151
TMT Investments,152
01 Advisors,153
Group 11,154
Summit Partners,155
Noshaq,156
Sofinnova Partners,157
Kaalari Capital,158
Steadview Capital,159
Spar Capital,160
Charles River Ventures,161
Tenaya Capital,162
Stripes Group,163
Bloomberg Beta,164
First Round Capital,165
B Capital Group,166
Sixth Street Partners,167
OrbiMed Advisors,168
Highland Capital Management,169
Union Square Ventures,170
Social Capital,171
Baillie Gifford & Co.,172
Matrix Partners India,173
Insight Venture Partners,174
Lowercase Capital,175
Polaris Partners,176
BOLDstart Ventures,177
Next World Capital,178
Wing Venture Capital,179
Nexus Venture Partners,180
Contrary,181
Lakestar,182
Bessemer Venture Partners,183
Morningside Group,184
SignalFire,185
Third Point,186
Electric Capital,187
Coinbase Ventures,188
TDK Ventures,189
Slack Fund,190
Skip Capital,191
Playground Global,192
M12,193
BlackRock,194
Hummingbird Ventures,195
Warburg Pincus,196
Bank Of China Group Investment,197
SDIC CMC Investment Management,198
TA Associates,199
GS Growth,200
BPI France,201
Kerala Ventures,202
Accomplice,203
IA Ventures,204
Barter Ventures,205
MenloVentures,206
Breakthrough Energy Ventures,207
Capricorn Investment Group,208
Valor Equity Partners,209
Lead Edge Capital,210
CyberStarts,211
Lux Capital,212
HCA Healthcare,213
Blackstone,214
UBS,215
Redpoint Ventures,216
Compound,217
Amplify Partners,218
NextView Ventures,219
Eniac Ventures,220
Alibaba Group,221
Boyu Capital,222
Borui Capital,223
Baidu,224
Huasheng Capital,225
Temasek,226
Portag3 Ventures,227
Aglae Ventures,228
Eurazeo,229
Daphni,230
next47,231
