investor_id,company
1,OpenAI
2,OpenAI
3,OpenAI
4,ByteDance
5,ByteDance
6,ByteDance
7,ByteDance
8,SpaceX
9,SpaceX
10,SpaceX
11,Anthropic
1,Stripe
12,Stripe
13,Stripe
14,Databricks
15,Databricks
16,Databricks
17,VAST Data
18,VAST Data
19,VAST Data
20,Revolut
21,Revolut
22,Revolut
23,SHEIN
4,SHEIN
24,SHEIN
25,Ripple
26,Ripple
27,Ripple
28,Figure
29,Figure
30,Figure
31,Ramp
32,Ramp
33,Ramp
4,Canva
34,Canva
35,Canva
7,Fanatics
14,Fanatics
36,Fanatics
3,Safe Superintelligence
21,Safe Superintelligence
14,Safe Superintelligence
14,Anysphere
2,Anysphere
37,Anysphere
38,OKX
39,Epic Games
40,Epic Games
41,Epic Games
42,Chime
43,Chime
44,Chime
15,Perplexity
45,Perplexity
46,Perplexity
14,Deel
47,Deel
48,Deel
49,Miro
50,Miro
51,Miro
52,Xiaohongshu
53,Xiaohongshu
54,Xiaohongshu
55,Rippling
48,Rippling
56,Rippling
39,Yuanfudao
57,Yuanfudao
25,Yuanfudao
58,DJI Innovations
3,DJI Innovations
27,ClickHouse
59,ClickHouse
60,ClickHouse
61,Discord
62,Discord
39,Discord
4,Yuanqi Senlin
63,Yuanqi Senlin
64,Yuanqi Senlin
65,Trade Republic
66,Trade Republic
67,Skild AI
68,Skild AI
69,Skild AI
14,Anduril
8,Anduril
70,Anduril
49,Scale
48,Scale
20,Scale
14,OpenSea
71,OpenSea
72,OpenSea
27,Mistral AI
68,Mistral AI
14,Mistral AI
49,Celonis
73,Celonis
68,Grammarly
45,Grammarly
74,Grammarly
14,Devoted Health
75,Devoted Health
76,Devoted Health
1,Faire
42,Faire
3,Faire
77,Labs
78,Labs
21,Brex
22,Brex
79,Brex
23,JUUL Labs
33,Bitmain Technologies
4,Bitmain Technologies
25,Bitmain Technologies
15,GoodLeap
80,GoodLeap
81,GoodLeap
40,Xingsheng Selected
39,Xingsheng Selected
4,Xingsheng Selected
82,Airtable
67,Airtable
83,Airtable
48,Whatnot
14,Whatnot
84,Whatnot
14,ElevenLabs
85,ElevenLabs
3,ElevenLabs
86,ZongMu Technology
87,ZongMu Technology
88,ZongMu Technology
42,Oura
89,Oura
90,Oura
20,Notion
91,Notion
92,Notion
93,Bending Spoons
94,Bending Spoons
95,Bending Spoons
96,Global Switch
97,Global Switch
98,Global Switch
23,Checkout.com
99,Checkout.com
21,Checkout.com
100,Bolt
100,Bolt
101,Bolt
101,Bolt
102,Bolt
102,Bolt
61,Sierra
3,Sierra
103,Sierra
104,Alchemy
33,Alchemy
105,Alchemy
106,Quince
107,Quince
108,Bilt Rewards
109,Bilt Rewards
110,Bilt Rewards
111,Colossal
74,Colossal
112,Colossal
113,Huolala
24,Huolala
114,Huolala
14,Thinking Machines Lab
49,Thinking Machines Lab
115,Crusoe
8,Crusoe
116,Crusoe
117,Gusto
118,Gusto
56,Gusto
4,Chehaoduo
119,Chehaoduo
120,Talkdesk
121,Talkdesk
122,Talkdesk
123,Mercor
61,Mercor
22,Digital Currency Group
13,Digital Currency Group
124,Digital Currency Group
25,KuCoin
125,KuCoin
126,KuCoin
8,Cognition AI
1,Cognition AI
127,Neuralink
8,Neuralink
128,Neuralink
4,HEYTEA
129,HEYTEA
130,HEYTEA
131,N26
132,N26
133,N26
14,Navan
27,Navan
