feature,importance
years_since_founded,0.5662807579463103
num_round_types_used,0.13503627785452912
funding_rounds,0.053465392850794234
country_grouped_United States,0.04434032572554806
is_multi_round,0.03858243871148097
category_count,0.03480941496053785
country_grouped_Other,0.02344075619777157
has_debt_financing,0.008747056869516314
industry_grouped_Other,0.008102617063478399
industry_grouped_Biotechnology,0.006096461883374007
country_grouped_India,0.005971024197299063
industry_grouped_Enterprise Software,0.004979555573377184
industry_grouped_Curated Web,0.004892879666994723
country_grouped_United Kingdom,0.004655525381153981
industry_grouped_Software,0.004428134923468977
country_grouped_China,0.004170003475984717
country_grouped_Canada,0.004100310077104445
industry_grouped_Education,0.003952809366428607
industry_grouped_Mobile,0.0037064269397482936
industry_grouped_E-Commerce,0.003679239742278112
industry_grouped_Clean Technology,0.003559829513362479
industry_grouped_Health and Wellness,0.0030634033913818507
industry_grouped_Apps,0.002846370112061397
industry_grouped_Health Care,0.0027542235021606348
industry_grouped_Finance,0.0026625648009300945
country_grouped_Germany,0.0026249638812775263
industry_grouped_Advertising,0.0024875923550463598
country_grouped_Israel,0.002455599207044506
industry_grouped_Hardware + Software,0.002298689366649339
country_grouped_France,0.0021770408005203183
industry_grouped_Games,0.0017620219768215318
country_grouped_Spain,0.0013924446104814116
country_grouped_Australia,0.0013723854603880604
country_grouped_Russian Federation,0.0013530682683115895
country_grouped_Brazil,0.0010259401165944985
country_grouped_Netherlands,0.0009359266152050089
country_grouped_Singapore,0.0009200139106895641
country_grouped_Sweden,0.0008705127038950699
