feature,importance
num_round_types_used,0.3823844
is_multi_round,0.089802906
years_since_founded,0.081225514
funding_rounds,0.072091766
country_grouped_Other,0.05574129
country_grouped_China,0.030150726
industry_grouped_Biotechnology,0.022894997
country_grouped_Israel,0.016790487
industry_grouped_Clean Technology,0.016688192
country_grouped_United States,0.014344828
industry_grouped_Health Care,0.012660263
industry_grouped_Software,0.012160639
country_grouped_Netherlands,0.012071798
country_grouped_Spain,0.011834918
category_count,0.011641245
country_grouped_India,0.010974931
has_debt_financing,0.010406088
industry_grouped_Education,0.010084158
country_grouped_Russian Federation,0.009628064
industry_grouped_Other,0.009068756
country_grouped_France,0.007863184
industry_grouped_Curated Web,0.007644538
industry_grouped_E-Commerce,0.0067936815
country_grouped_Brazil,0.0067137377
industry_grouped_Finance,0.006700437
country_grouped_Singapore,0.006468027
country_grouped_United Kingdom,0.006404344
industry_grouped_Health and Wellness,0.00611784
country_grouped_Germany,0.0059939637
industry_grouped_Hardware + Software,0.005804108
industry_grouped_Mobile,0.0057216445
country_grouped_Australia,0.005698165
industry_grouped_Apps,0.005660615
country_grouped_Canada,0.0052952846
industry_grouped_Advertising,0.0052915565
industry_grouped_Enterprise Software,0.0050480487
industry_grouped_Games,0.004362979
country_grouped_Sweden,0.0037718972
