startup_id,cluster,log_funding,funding_rounds,years_since_founded,num_round_types_used,category_count
1,0,14.375126917328105,1,2.6,1,4.0
3,3,10.596659732783579,1,2.2,1,2.0
4,0,14.220976332738882,1,3.8,1,10.0
5,3,11.002116507732017,2,1.0,1,3.0
6,2,15.76142084987672,1,3.2,2,1.0
8,2,14.508658238524095,1,8.0,2,1.0
11,3,10.596659732783579,1,3.0,1,1.0
14,2,14.375126917328105,1,31.0,1,1.0
16,2,15.29711532616119,2,2.0,3,1.0
17,2,14.53335083891935,4,14.0,1,1.0
18,3,10.596659732783579,1,7.0,1,1.0
19,3,13.122365377402328,1,6.0,1,3.0
21,2,14.74570458948466,2,4.5,3,1.0
22,1,15.417450833231424,6,7.0,2,1.0
23,1,15.216466904914812,4,4.1,3,2.0
24,2,16.118095750958314,3,6.0,2,2.0
27,3,12.948012371209098,1,0.5,1,1.0
28,2,14.038654909278163,2,3.3,2,1.0
29,2,17.370858648025116,1,15.0,1,1.0
31,3,10.819798284210286,1,5.8,1,1.0
32,3,14.285514812209815,2,1.5,1,3.0
33,3,11.51293546492023,1,5.5,1,3.0
35,2,14.914123179965662,1,3.0,1,1.0
36,3,11.258046118484,1,5.0,1,1.0
38,2,16.811242881518265,1,3.3,2,1.0
44,3,12.506180941677357,2,2.9,2,3.0
45,1,13.584839999674324,6,3.2,3,6.0
46,0,13.385139864588668,2,3.0,2,7.0
48,3,12.844797958606975,1,2.0,1,1.0
50,3,13.336659908993743,1,4.1,1,3.0
52,1,18.011960358172438,8,8.0,5,1.0
54,0,13.45883704259595,1,5.0,1,5.0
55,2,15.520258832020865,2,5.0,3,2.0
56,0,13.122365377402328,1,5.0,1,6.0
58,2,15.039286283703994,3,3.7,2,1.0
59,3,12.206077645517674,1,3.7,1,1.0
60,3,12.205862623477087,1,9.0,1,1.0
61,3,10.819798284210286,1,5.6,1,2.0
63,2,16.454567959008102,1,25.0,2,1.0
64,1,18.251555570610353,3,11.0,3,1.0
66,1,16.06453789988606,3,10.0,3,1.0
68,2,19.11382792951231,1,24.0,1,3.0
69,3,10.596659732783579,1,5.9,1,4.0
74,3,10.687663031443638,2,5.3,2,2.0
75,0,10.819798284210286,1,6.5,1,6.0
77,3,14.187074804051692,1,5.0,1,1.0
78,2,14.557448378884015,3,1.8,1,2.0
80,0,12.04355959836804,1,1.5,1,5.0
81,2,17.216707972959764,1,13.0,2,3.0
82,3,13.122365377402328,1,4.0,1,1.0
87,3,11.957617696467539,2,1.9,1,4.0
